City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Severo-Yeniseyskiy,RU,2021-01-26 15:09:29,60.3725,93.0408,-42.27,80,3,2.64
143,Kidal,ML,2021-01-26 15:02:04,18.4411,1.4078,86.52,9,15,11.63
144,Henties Bay,NA,2021-01-26 15:09:30,-22.116,14.2845,67.59,83,80,9.75
145,Wana,PK,2021-01-26 15:09:30,32.2989,69.5725,44.22,49,0,1.36
146,Buchanan,LR,2021-01-26 15:09:30,5.8808,-10.0467,89.6,66,75,4.61
147,Vardo,NO,2021-01-26 15:09:30,70.3705,31.1107,26.6,80,75,33.38
148,Northam,GB,2021-01-26 15:02:22,51.0333,-4.2167,48.99,95,100,13.0
149,Hasaki,JP,2021-01-26 15:01:00,35.7333,140.8333,45.0,100,75,3.44
150,Gat,IL,2021-01-26 15:05:04,31.61,34.7642,64.99,55,100,3.36
151,Harlingen,US,2021-01-26 15:08:29,26.1906,-97.6961,68.0,88,90,5.75
152,Krasnyy Chikoy,RU,2021-01-26 15:09:30,50.3643,108.7512,-16.51,82,0,2.53
153,Kibala,TD,2021-01-26 15:09:31,9.1104,18.3463,100.4,10,0,9.22
154,Port Elizabeth,ZA,2021-01-26 14:59:47,-33.918,25.5701,68.0,88,75,20.71
155,Rio Hondo,GT,2021-01-26 15:09:31,15.0667,-89.5833,73.4,83,20,2.1
156,Lagoa,PT,2021-01-26 15:02:19,39.05,-27.9833,62.56,84,100,31.47
157,Sinnamary,GF,2021-01-26 15:02:34,5.3833,-52.95,79.86,84,53,13.0
158,Palana,RU,2021-01-26 15:09:31,59.1167,159.9667,2.07,92,100,7.96
159,Cabo San Lucas,MX,2021-01-26 15:01:59,22.8909,-109.9124,50.0,71,40,5.75
160,Ambon,ID,2021-01-26 15:02:14,-3.6954,128.1814,82.4,74,40,10.36
161,Port Augusta,AU,2021-01-26 15:09:32,-32.5,137.7667,66.2,72,1,12.66
162,Kijabe,KE,2021-01-26 15:09:32,-0.933,36.5758,66.99,62,42,7.0
163,Poya,NC,2021-01-26 15:09:32,-21.35,165.15,75.7,82,3,5.93
164,Iralaya,HN,2021-01-26 15:09:32,15.0,-83.2333,80.15,78,77,16.42
165,Faro,PT,2021-01-26 15:09:32,37.0194,-7.9322,60.8,100,75,11.5
166,Kibaya,TZ,2021-01-26 15:09:32,-5.3,36.5667,69.04,86,66,4.14
167,Gold Coast,AU,2021-01-26 15:09:32,-28.0,153.4333,77.0,83,90,10.36
168,Augustow,PL,2021-01-26 15:09:32,53.8432,22.9798,31.69,98,100,19.17
169,Miranda,CO,2021-01-26 15:09:32,3.2499,-76.2281,73.4,88,75,3.44
170,Lebu,CL,2021-01-26 15:02:01,-37.6167,-73.65,60.46,60,0,17.96
171,Penzance,GB,2021-01-26 15:09:33,50.1186,-5.5371,50.0,100,90,14.97
172,Capari,MK,2021-01-26 15:09:33,41.0561,21.1783,35.6,80,90,3.44
173,Saint George,US,2021-01-26 15:01:44,37.1041,-113.5841,30.99,69,75,8.05
174,Visnes,NO,2021-01-26 15:09:33,59.3556,5.2242,33.01,86,40,4.61
175,Tabuk,PH,2021-01-26 15:09:33,17.4189,121.4443,71.82,91,100,4.34
176,Goderich,CA,2021-01-26 15:09:33,43.7501,-81.7165,26.6,86,100,18.41
177,Baoning,CN,2021-01-26 15:09:33,25.3378,110.026,50.0,66,90,4.47
178,Abha,SA,2021-01-26 15:02:47,18.2164,42.5053,68.0,72,0,9.22
179,Garissa,KE,2021-01-26 15:09:34,-0.4536,39.6401,93.31,26,5,6.76
180,Bengkulu,ID,2021-01-26 15:01:48,-3.8004,102.2655,75.74,86,100,3.09
181,Zaros,GR,2021-01-26 15:09:34,35.1316,24.9046,64.0,75,99,10.38
182,Nome,US,2021-01-26 15:01:44,64.5011,-165.4064,10.4,85,90,1.81
183,Rolla,US,2021-01-26 15:09:34,37.9514,-91.7713,37.0,87,90,13.8
184,El Tocuyo,VE,2021-01-26 15:09:34,9.7873,-69.7937,81.81,42,43,3.91
185,Iquitos,PE,2021-01-26 14:59:40,-3.7481,-73.2472,73.4,94,75,2.3
186,Datong,CN,2021-01-26 15:09:34,40.0936,113.2914,20.75,78,3,5.28
187,Fare,PF,2021-01-26 15:09:34,-16.7,-151.0167,80.71,76,82,18.75
188,Chumikan,RU,2021-01-26 15:09:34,54.7183,135.315,-8.63,90,100,11.32
189,Esperance,AU,2021-01-26 15:01:47,-33.8667,121.9,62.6,82,75,13.8
190,Cayenne,GF,2021-01-26 15:09:35,4.9333,-52.3333,82.4,78,75,12.66
191,Bambous Virieux,MU,2021-01-26 15:02:18,-20.3428,57.7575,84.2,61,20,6.91
192,Lompoc,US,2021-01-26 15:02:14,34.6391,-120.4579,37.99,93,0,6.58
193,Salalah,OM,2021-01-26 15:02:15,17.0151,54.0924,77.0,61,0,8.05
194,Kingisepp,RU,2021-01-26 15:09:35,59.3733,28.6134,36.93,93,100,8.37
195,Nouadhibou,MR,2021-01-26 15:09:35,20.931,-17.0347,86.0,21,0,11.5
196,Acapulco,MX,2021-01-26 15:08:12,16.8634,-99.8901,77.0,69,1,2.21
197,Port Hardy,CA,2021-01-26 15:09:35,50.6996,-127.4199,41.0,81,75,19.57
198,Reyes,BO,2021-01-26 15:08:45,-14.3167,-67.3833,78.8,89,90,6.91
199,Zapolyarnyy,RU,2021-01-26 15:09:36,69.4154,30.8136,21.2,79,75,20.71
200,Barrow,US,2021-01-26 15:02:03,71.2906,-156.7887,-11.2,84,90,4.61
201,Les Cayes,HT,2021-01-26 15:09:36,18.2,-73.75,80.01,62,2,2.42
202,Opunake,NZ,2021-01-26 15:09:36,-39.4556,173.8583,60.01,97,35,1.01
203,Yantal,RU,2021-01-26 15:09:36,56.8471,105.2542,-21.8,84,100,3.29
204,Aspindza,GE,2021-01-26 15:09:36,41.5739,43.2483,30.31,82,1,6.31
205,Shibetsu,JP,2021-01-26 15:07:13,43.659,145.132,19.62,96,100,5.79
206,Biltine,TD,2021-01-26 15:09:37,14.5333,20.9167,93.69,10,93,8.68
207,Bambanglipuro,ID,2021-01-26 15:09:37,-7.95,110.2833,78.28,85,100,6.69
208,Deer Lake,CA,2021-01-26 15:05:10,49.1667,-57.4316,35.6,69,75,5.75
209,Vawkavysk,BY,2021-01-26 15:09:37,53.1561,24.4513,32.0,93,90,22.37
210,Sangar,RU,2021-01-26 15:09:37,63.9242,127.4739,-55.32,67,65,4.25
211,Neustadt,DE,2021-01-26 15:09:37,49.7117,12.0872,33.01,93,90,11.5
212,Grindavik,IS,2021-01-26 15:09:37,63.8424,-22.4338,26.6,50,0,26.46
213,Nanortalik,GL,2021-01-26 15:02:43,60.1432,-45.2371,18.21,84,0,9.44
