City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Shelburne,CA,44.0787,-80.2041,21.99,79,90,10.36,light snow
128,Mbandaka,CD,0.0487,18.2603,72.54,89,95,3.89,overcast clouds
129,Korgen,NO,66.0771,13.8153,26.6,63,75,10.36,broken clouds
130,Puerto Ayora,EC,-0.7393,-90.3518,86.0,62,40,16.11,scattered clouds
131,Mankono,CI,8.0586,-6.1897,79.27,25,8,3.38,clear sky
132,Paka,MY,4.6374,103.4368,78.8,89,100,4.61,overcast clouds
133,Totness,SR,5.8833,-56.3167,79.11,76,12,13.4,few clouds
134,Berlevag,NO,70.8578,29.0864,24.8,63,75,24.16,snow
135,Limon,CR,10.0,-83.0333,84.2,70,75,10.36,broken clouds
136,Brae,GB,60.3964,-1.353,32.0,86,20,8.05,few clouds
137,Port Hueneme,US,34.1478,-119.1951,57.2,66,90,14.97,overcast clouds
138,Kodiak,US,57.79,-152.4072,32.0,80,90,1.45,overcast clouds
139,Birao,CF,10.2849,22.7882,78.01,17,89,6.17,overcast clouds
140,Aulla,IT,44.2146,9.9678,45.0,62,100,3.85,overcast clouds
141,Rylsk,RU,51.5655,34.6822,31.48,98,100,11.74,snow
142,Thompson,CA,55.7435,-97.8558,-13.0,84,75,3.44,broken clouds
143,Upington,ZA,-28.4478,21.2561,80.6,32,4,19.57,clear sky
144,Kosa,RU,59.9445,54.9977,27.03,98,100,11.7,light snow
145,Pangnirtung,CA,66.1451,-65.7125,-4.0,77,1,2.3,clear sky
146,Nimbahera,IN,24.6167,74.6833,50.45,46,0,5.17,clear sky
147,Zhigansk,RU,66.7697,123.3711,-47.81,76,56,7.02,broken clouds
148,East London,ZA,-33.0153,27.9116,69.75,80,94,13.96,light rain
149,Touros,BR,-5.1989,-35.4608,82.4,69,20,13.8,few clouds
150,Haines Junction,CA,60.7522,-137.5108,-18.4,63,73,1.14,broken clouds
151,Upata,VE,8.0086,-62.3989,82.0,69,100,5.01,overcast clouds
152,Pucallpa,PE,-8.3791,-74.5539,89.6,55,40,9.22,scattered clouds
